wcat,wdog
-1.140339765697717667e-03,-3.854867769405245781e-03
-1.448854245245456696e-02,-1.475031860172748566e-02
-1.117964420700445771e-04,-4.650375340133905411e-03
-2.076818235218524933e-02,-2.262620069086551666e-02
5.379850789904594421e-02,-2.649832889437675476e-02
2.091087214648723602e-02,-7.346577197313308716e-02
2.012194879353046417e-02,1.711613871157169342e-02
8.513789623975753784e-03,-3.631075844168663025e-02
2.685916237533092499e-02,-1.648862659931182861e-02
3.829170390963554382e-02,-2.430722303688526154e-02
-1.441224711015820503e-03,-3.130669705569744110e-03
-6.246470147743821144e-04,-6.575679872184991837e-03
8.752475492656230927e-03,4.237281531095504761e-02
3.247886523604393005e-02,-2.130598574876785278e-02
-3.911351319402456284e-03,3.004793543368577957e-03
-6.322041153907775879e-03,1.040697284042835236e-02
5.969242751598358154e-02,-4.084682464599609375e-02
-8.755653980188071728e-04,9.584746439941227436e-04
7.595448940992355347e-02,-4.574739187955856323e-02
2.074443921446800232e-02,1.890219561755657196e-02
2.708324417471885681e-02,2.072110399603843689e-02
2.273322455585002899e-02,-1.070454251021146774e-03
1.568966358900070190e-02,-6.961269769817590714e-03
2.902621962130069733e-02,6.097662262618541718e-03
4.625636339187622070e-02,-4.503476992249488831e-02
-4.903013259172439575e-02,2.749442309141159058e-02
-1.061569247394800186e-02,-1.309643033891916275e-02
-2.098491415381431580e-02,1.535615324974060059e-02
-2.114683575928211212e-02,4.310304298996925354e-02
-1.467953622341156006e-02,-1.537225395441055298e-02
1.889583189040422440e-03,1.409691199660301208e-02
-6.222639698535203934e-03,-5.592965520918369293e-03
-4.473074339330196381e-03,-8.324436843395233154e-03
-1.563644781708717346e-02,-1.126323360949754715e-02
